"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",3.04344,1.24649,0.26198,0.16686,0.19565,0.43121,0.67155,1.11993,0.86208,0.37999,0.31621,0.32382,0.25846,0.26476,0.24317,0.14253
"2",1.20845,10.1288,1.00301,0.11219,0.1425,0.18904,0.5172,1.02111,1.46645,0.3499,0.13343,0.11537,0.19032,0.19822,0.11511,0.05745
"3",0.15347,3.08049,16.17287,0.71628,0.51446,0.28057,0.35462,0.54905,1.25942,0.73103,0.45944,0.09019,0.11503,0.23597,0.16008,0.18881
"4",0.09025,0.34056,5.07975,15.3756,1.07688,0.52571,0.26177,0.3025,0.69626,1.08894,0.65863,0.10655,0.08485,0.02087,0.06133,0.0532
"5",0.27539,0.15677,0.19176,2.30237,5.39306,2.06936,1.09298,0.92067,0.7427,1.36324,1.14383,0.6926,0.27868,0.10778,0.15904,0.1477
"6",0.08507,0.13585,0.12529,0.67974,2.63195,4.72612,2.64677,1.51947,1.51516,1.26673,1.2602,0.8884,0.51667,0.08141,0.08952,0.03179
"7",0.63588,0.37516,0.4832,0.16951,0.92486,1.82882,3.79013,1.90556,1.46943,0.80479,0.98208,0.74662,0.56723,0.20307,0.16366,0.10306
"8",0.81874,0.90508,0.47935,0.29232,0.68016,1.56006,2.54251,4.8701,3.28484,1.79314,1.17994,0.87443,0.67121,0.56323,0.24777,0.12327
"9",0.7374,0.68818,0.72168,0.50397,0.83622,1.2286,2.06039,1.94286,3.54523,1.8809,1.78275,0.65343,0.534,0.23473,0.26885,0.07972
"10",0.16633,0.4912,0.3707,0.75116,0.63304,0.69539,1.47258,1.56778,1.8219,2.30724,1.47966,0.84888,0.35512,0.17803,0.1283,0.18986
"11",0.10944,0.26885,0.66942,0.75212,0.67755,1.1801,0.99815,1.63481,1.78075,1.44077,1.90787,1.19174,0.56347,0.20941,0.24427,0.21446
"12",0.2193,0.39172,0.5776,0.15119,0.55108,1.19212,1.36672,1.35978,1.68336,1.41434,1.80958,2.56957,1.06207,0.36739,0.34524,0.19424
"13",0.23847,0.1547,0.16648,0.34485,0.5273,1.04079,1.07499,1.38335,1.45266,1.56278,1.03248,1.39016,1.5719,0.78409,0.51783,0.3299
"14",0.13948,0.14594,0.03041,0.02805,0.25568,0.53755,1.20458,0.99957,0.77545,0.6588,0.73736,0.62483,0.907,2.07288,0.38102,0.26304
"15",0.04093,0.08626,0.20513,0.17619,0.11416,0.3641,0.40442,0.51903,0.89636,0.55803,0.39271,0.43228,1.15613,1.36244,1.42812,0.25108
"16",0.1079,0.12997,0,0.37474,0.08632,0.00017,0.00058,0.24811,0.58928,1.04343,0.50446,1.17561,0.15126,1.64261,0.55532,0.00013
