"ITTER107","Territory","TIPO_DATO_ISTR","Data type","ORDINESCOL2","School level","NATGIUR1","Type of schools' management","TIME","Select year t (school year = t-1 / t)","Value","Flag Codes","Flags"
"IT","Italy","SCHO","schools","LOW","lower secondary","PUB","public","2018","2018",7418,,
"IT","Italy","ENR","enrolled","LOW","lower secondary","PUB","public","2018","2018",1666448,,
"IT","Italy","ENROL","enrolled per class","LOW","lower secondary","PUB","public","2018","2018",20.9,,
"IT","Italy","DISAB","disabled per 1000 enrolled","LOW","lower secondary","PUB","public","2018","2018",41.6,,
"IT","Italy","SCHO","schools","LOW","lower secondary","PRI","private","2018","2018",646,,
"IT","Italy","ENR","enrolled","LOW","lower secondary","PRI","private","2018","2018",64824,,
"IT","Italy","ENROL","enrolled per class","LOW","lower secondary","PRI","private","2018","2018",21.2,,
"IT","Italy","DISAB","disabled per 1000 enrolled","LOW","lower secondary","PRI","private","2018","2018",22.6,,
"IT","Italy","SCHO","schools","LOW","lower secondary","ALL","total","2018","2018",8064,,
"IT","Italy","ENR","enrolled","LOW","lower secondary","ALL","total","2018","2018",1731272,,
"IT","Italy","ENROL","enrolled per class","LOW","lower secondary","ALL","total","2018","2018",20.9,,
"IT","Italy","DISAB","disabled per 1000 enrolled","LOW","lower secondary","ALL","total","2018","2018",40.8,,
"IT","Italy","SCHO","schools","PRI","primary","PUB","public","2018","2018",15508,,
"IT","Italy","ENR","enrolled","PRI","primary","PUB","public","2018","2018",2582431,,
"IT","Italy","ENROL","enrolled per class","PRI","primary","PUB","public","2018","2018",19,,
"IT","Italy","DISAB","disabled per 1000 enrolled","PRI","primary","PUB","public","2018","2018",35.3,,
"IT","Italy","SCHO","schools","PRI","primary","PRI","private","2018","2018",1440,,
"IT","Italy","ENR","enrolled","PRI","primary","PRI","private","2018","2018",171626,,
"IT","Italy","ENROL","enrolled per class","PRI","primary","PRI","private","2018","2018",19,,
"IT","Italy","DISAB","disabled per 1000 enrolled","PRI","primary","PRI","private","2018","2018",19.4,,
"IT","Italy","SCHO","schools","PRI","primary","ALL","total","2018","2018",16948,,
"IT","Italy","ENR","enrolled","PRI","primary","ALL","total","2018","2018",2754057,,
"IT","Italy","ENROL","enrolled per class","PRI","primary","ALL","total","2018","2018",19,,
"IT","Italy","DISAB","disabled per 1000 enrolled","PRI","primary","ALL","total","2018","2018",34.3,,
"IT","Italy","SCHO","schools","PRE","pre-primary","PUB","public","2018","2018",15478,,
"IT","Italy","ENR","enrolled","PRE","pre-primary","PUB","public","2018","2018",1072314,,
"IT","Italy","ENROL","enrolled per class","PRE","pre-primary","PUB","public","2018","2018",21.6,,
"IT","Italy","DISAB","disabled per 1000 enrolled","PRE","pre-primary","PUB","public","2018","2018",25.2,,
"IT","Italy","SCHO","schools","PRE","pre-primary","PRI","private","2018","2018",7588,,
"IT","Italy","ENR","enrolled","PRE","pre-primary","PRI","private","2018","2018",418976,,
"IT","Italy","ENROL","enrolled per class","PRE","pre-primary","PRI","private","2018","2018",21,,
"IT","Italy","DISAB","disabled per 1000 enrolled","PRE","pre-primary","PRI","private","2018","2018",10.7,,
"IT","Italy","SCHO","schools","PRE","pre-primary","ALL","total","2018","2018",23066,,
"IT","Italy","ENR","enrolled","PRE","pre-primary","ALL","total","2018","2018",1491290,,
"IT","Italy","ENROL","enrolled per class","PRE","pre-primary","ALL","total","2018","2018",21.4,,
"IT","Italy","DISAB","disabled per 1000 enrolled","PRE","pre-primary","ALL","total","2018","2018",21.1,,
"IT","Italy","ENROL","enrolled per class","UPP","upper secondary","PRI","private","2018","2018",13.2,,
"IT","Italy","DISAB","disabled per 1000 enrolled","UPP","upper secondary","PUB","public","2018","2018",26.5,,
"IT","Italy","ENROL","enrolled per class","UPP","upper secondary","PUB","public","2018","2018",20.9,,
"IT","Italy","DISAB","disabled per 1000 enrolled","UPP","upper secondary","PRI","private","2018","2018",14.1,,
"IT","Italy","ENROL","enrolled per class","UPP","upper secondary","ALL","total","2018","2018",20.5,,
"IT","Italy","ENR","enrolled","UPP","upper secondary","PRI","private","2018","2018",102834,,
"IT","Italy","ENR","enrolled","UPP","upper secondary","PUB","public","2018","2018",2584914,,
"IT","Italy","ENR","enrolled","UPP","upper secondary","ALL","total","2018","2018",2687748,,
"IT","Italy","SCHO","schools","UPP","upper secondary","PUB","public","2018","2018",5337,,
"IT","Italy","SCHO","schools","UPP","upper secondary","PRI","private","2018","2018",1571,,
"IT","Italy","DISAB","disabled per 1000 enrolled","UPP","upper secondary","ALL","total","2018","2018",26,,
"IT","Italy","SCHO","schools","UPP","upper secondary","ALL","total","2018","2018",6908,,
